codigo_iata,lat,lng
ZUD,-41.904251,-73.796571
LOB,-32.813912,-70.646642
WAP,-43.611492,-71.805452
ARI,-18.348499,-70.338699
WPA,-45.3992,-72.670303
CPO,-27.2612,-70.779198
BBA,-45.915968,-71.689499
TOQ,-22.1411,-70.062897
DPB,-54.049977,-68.809193
CCH,-46.5831,-71.686323
CJC,-22.498199,-68.903603
YAI,-36.5825,-72.031403
PUQ,-53.002602,-70.854599
COW,-30.198889,-71.246944
GXQ,-45.5942,-72.106102
IQQ,-20.536273,-70.181373
SCL,-33.393001556396484,-70.78579711914062
ESR,-26.3111,-69.765198
FRT,-41.051666,-73.35111
ANF,-23.445274,-70.445232
WPR,-53.2537,-70.319199
FFU,-43.189201,-71.851097
LSQ,-37.401699,-72.4254
WPU,-54.931099,-67.626297
LGR,-47.243591,-72.58815
CCP,-36.77235,-73.062828
IPC,-27.165411,-109.421027
ZOS,-40.611198,-73.060997
CPP,-20.7505,-68.683502
VLR,-28.596399,-70.755997
ZLR,-35.861698,-71.548599
PNT,-51.67067,-72.529078
OVL,-30.5592,-71.175598
ZPC,-39.292801,-71.915901
MHC,-42.340388,-73.715693
PUX,-41.3494,-72.946701
ZCO,-38.9259,-72.6515
CNR,-26.3325,-70.6073
VAP,-33.0681,-71.557503
SMB,-52.736698,-69.333603
LSC,-29.916201,-71.199501
SSD,-32.7458,-70.705002
WCA,-42.490299,-73.772797
PZS,-38.766799926758,-72.637100219727
PMC,-41.443093,-73.094065
TLX,-35.3778,-71.6017
WCH,-42.781943,-72.834999
ZIC,-38.245602,-72.348602
TTC,-25.564301,-70.3759
ZAL,-39.6500015259,-73.0860977173
KNA,-32.9496,-71.4786
